Date, Close/Last, Volume, Open, High, Low
07/10/2020,  10.38, 17058200,  10.43,  10.48,  10.24
07/09/2020,  10.44, 25009770,  10.42,  10.55,  10.12
07/08/2020,  10.25, 26243790,  10.1,  10.275,  9.93
07/07/2020,  9.89, 19626120,  9.74,  9.905,  9.68
07/06/2020,  9.72, 22574050,  9.6,  9.88,  9.47
07/02/2020,  9.53, 18523560,  9.82,  9.84,  9.49
07/01/2020,  9.76, 26037170,  9.52,  9.79,  9.44
06/30/2020,  9.54, 20894990,  9.56,  9.705,  9.51
06/29/2020,  9.56, 13372200,  9.52,  9.61,  9.325
06/26/2020,  9.58, 30011590,  9.63,  9.72,  9.44
06/25/2020,  9.61, 16802550,  9.48,  9.65,  9.41
06/24/2020,  9.48, 14121990,  9.59,  9.72,  9.365
06/23/2020,  9.565, 17496350,  9.49,  9.77,  9.44
06/22/2020,  9.44, 13296360,  9.34,  9.495,  9.3172
06/19/2020,  9.29, 14549980,  9.28,  9.43,  9.21
06/18/2020,  9.22, 11463670,  9.32,  9.4,  9.17
06/17/2020,  9.33, 15369250,  9.1,  9.445,  9.095
06/16/2020,  9.05, 19752790,  9.14,  9.16,  8.97
06/15/2020,  9.1, 25966550,  9.07,  9.27,  9.01
